T0;Tr;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP;Um;Ub1;Ub2
0.000000;0.000000;0.000000;0.000000;0.000000;55.000000;85.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;55.000000;85.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3.200000;0.224820;0.016197;0.000000;0.000000;49.400000;77.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;0.419456;0.058926;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;0.592495;0.121003;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;0.747588;0.197055;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;0.887663;0.282901;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.015067;0.375296;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.131695;0.471732;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.239075;0.570281;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.338451;0.669468;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.430834;0.768177;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.517057;0.865572;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.597805;0.961035;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.673647;1.054120;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;1.738034;1.144007;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.806253;1.230661;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;1.870641;1.314503;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;1.924494;1.394908;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;1.975948;1.471488;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.025098;1.544443;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.150000;2.079062;1.614470;0.000000;0.000000;49.487500;77.125000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.123046;1.681568;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.165146;1.745349;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.205419;1.806016;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.243926;1.863749;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.280730;1.918713;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.315896;1.971061;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.349487;2.020931;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.381567;2.068452;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.412199;2.113744;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.441443;2.156919;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.469359;2.198081;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.496004;2.237329;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.521435;2.274756;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.545705;2.310448;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.050000;2.568866;2.344488;0.000000;0.000000;49.662500;77.375000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.000000;2.587453;2.376702;0.000000;0.000000;49.750000;77.500000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.000000;2.605446;2.406998;0.000000;0.000000;49.750000;77.500000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.000000;2.622816;2.435557;0.000000;0.000000;49.750000;77.500000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.000000;2.639549;2.462530;0.000000;0.000000;49.750000;77.500000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.000000;2.655641;2.488047;0.000000;0.000000;49.750000;77.500000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
3.000000;2.671094;2.512222;0.000000;0.000000;49.750000;77.500000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.900000;2.678890;2.534645;0.000000;0.000000;49.925000;77.750000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.900000;2.686902;2.555070;0.000000;0.000000;49.925000;77.750000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.900000;2.694997;2.573794;0.000000;0.000000;49.925000;77.750000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;2.696053;2.590548;0.000000;0.000000;50.100000;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;2.697854;2.605195;0.000000;0.000000;50.100000;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;2.700197;2.618114;0.000000;0.000000;50.100000;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;2.702928;2.629606;0.000000;0.000000;50.100000;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;2.705924;2.639911;0.000000;0.000000;50.100000;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;2.709090;2.649222;0.000000;0.000000;50.100000;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000